Date,Open,High,Low,Close,Volume
08/14/2025,"980.60","988.29","975.18","975.39","1,808,742"
08/13/2025,"983.96","986.40","970.10","978.85","2,352,567"
08/12/2025,"988.50","991.75","980.05","991.25","1,589,455"
08/11/2025,"983.16","989.58","976.32","988.74","2,290,125"
08/08/2025,"977.15","988.20","977.00","980.98","2,189,701"
08/07/2025,"974.68","982.00","970.96","977.45","1,893,275"
08/06/2025,"943.63","970.55","942.66","968.56","2,752,994"
08/05/2025,"951.33","951.50","935.68","943.63","2,462,286"
08/04/2025,"952.60","960.18","948.66","955.37","2,389,907"
08/01/2025,"939.50","956.72","939.50","952.52","2,934,464"
07/31/2025,"925.36","945.95","925.00","939.64","2,564,353"
07/30/2025,"935.00","937.75","925.14","927.51","1,699,609"
07/29/2025,"933.99","941.79","927.38","934.57","2,065,880"
07/28/2025,"935.50","940.24","930.89","933.99","2,006,292"
07/25/2025,"936.30","941.29","934.35","935.48","1,827,655"
07/24/2025,"941.33","942.90","933.49","933.80","2,057,072"
07/23/2025,"942.38","948.50","936.00","941.19","2,401,619"
07/22/2025,"948.80","957.70","941.25","941.61","1,799,905"
07/21/2025,"951.51","955.76","946.60","947.56","1,742,426"
07/18/2025,"959.95","960.26","949.65","950.95","2,115,538"
07/17/2025,"950.36","954.75","947.51","953.91","2,280,638"
07/16/2025,"967.99","969.59","950.13","951.37","2,950,277"
07/15/2025,"979.25","980.25","966.66","967.68","1,878,003"
07/14/2025,"971.10","981.49","969.62","980.91","1,679,303"
07/11/2025,"973.29","978.98","965.70","970.33","1,941,995"
07/10/2025,"987.00","988.00","969.07","970.17","2,903,765"
07/09/2025,"988.39","988.39","972.28","982.09","2,922,574"
07/08/2025,"989.50","995.87","983.93","985.84","1,716,151"
07/07/2025,"985.00","992.89","976.20","992.18","1,832,591"
07/03/2025,"982.41","987.67","977.33","987.02","1,101,351"
07/02/2025,"983.87","985.70","976.87","982.36","1,606,122"
07/01/2025,"990.00","996.84","974.50","985.96","2,200,576"
06/30/2025,"985.16","991.74","979.75","989.94","2,127,591"
06/27/2025,"982.24","993.14","980.30","985.14","2,129,190"
06/26/2025,"987.73","987.73","976.50","982.91","2,262,786"
06/25/2025,"1,003.00","1,004.98","986.00","986.54","1,827,694"
06/24/2025,"1,005.84","1,005.84","992.07","1,001.92","2,385,103"
06/23/2025,"983.15","1,004.87","981.26","1,004.48","2,082,928"
06/20/2025,"983.99","988.66","973.90","980.29","3,255,699"
06/18/2025,"980.00","982.65","974.07","974.90","1,509,613"
06/17/2025,"983.00","986.10","976.20","977.72","1,668,225"
06/16/2025,"992.33","1,001.85","981.44","984.36","2,109,338"
06/13/2025,"999.08","1,003.59","988.67","990.21","1,785,964"
06/12/2025,"999.00","1,003.25","995.36","1,002.71","1,720,138"
06/11/2025,"1,002.44","1,005.44","993.38","996.78","2,459,835"
06/10/2025,"1,006.93","1,011.51","997.72","1,007.27","2,255,019"
06/09/2025,"1,012.42","1,013.35","996.97","1,006.18","1,696,711"
06/06/2025,"1,020.63","1,020.63","1,008.61","1,014.94","1,855,428"
06/05/2025,"1,050.00","1,051.05","1,006.01","1,010.81","3,297,524"
06/04/2025,"1,055.00","1,057.83","1,049.37","1,051.69","1,422,086"
06/03/2025,"1,054.15","1,067.08","1,043.26","1,055.59","1,992,850"
06/02/2025,"1,034.27","1,060.50","1,034.27","1,056.85","2,148,004"
05/30/2025,"1,002.30","1,052.49","1,002.00","1,040.18","5,403,837"
05/29/2025,"1,016.01","1,017.54","1,003.60","1,008.74","2,023,815"
05/28/2025,"1,017.05","1,024.62","1,012.96","1,013.14","1,674,743"
05/27/2025,"1,015.00","1,018.95","1,010.93","1,017.79","1,868,169"
05/23/2025,"1,012.00","1,015.11","1,007.00","1,008.50","1,413,916"
