Date,Open,High,Low,Close,Volume
08/14/2025,"117.63","118.49","117.48","118.11","1,732,667"
08/13/2025,"118.86","119.07","117.17","117.86","2,238,168"
08/12/2025,"117.72","118.58","117.20","118.52","1,720,746"
08/11/2025,"117.27","117.68","116.87","117.05","1,739,767"
08/08/2025,"116.74","117.61","116.66","117.19","1,420,346"
08/07/2025,"116.98","117.31","115.64","116.38","1,739,650"
08/06/2025,"114.89","116.46","114.77","116.39","1,457,994"
08/05/2025,"115.62","115.97","114.21","114.74","3,467,345"
08/04/2025,"114.14","115.25","114.08","115.25","2,365,334"
08/01/2025,"113.65","114.13","112.30","113.23","2,750,188"
07/31/2025,"116.86","117.13","115.38","115.69","2,185,652"
07/30/2025,"115.22","115.82","114.68","115.42","1,726,220"
07/29/2025,"115.73","115.93","114.80","114.91","1,522,595"
07/28/2025,"115.19","115.52","114.86","115.31","1,363,879"
07/25/2025,"114.50","115.27","114.44","115.03","1,291,758"
07/24/2025,"114.36","114.61","114.00","114.34","1,313,905"
07/23/2025,"113.43","114.36","113.30","114.36","2,154,221"
07/22/2025,"113.71","113.94","112.26","112.86","1,721,404"
07/21/2025,"114.09","114.62","113.92","114.04","1,686,149"
07/18/2025,"113.96","113.96","113.35","113.83","1,299,947"
07/17/2025,"112.98","113.83","112.84","113.70","1,599,364"
07/16/2025,"113.01","113.10","111.64","112.88","2,037,706"
07/15/2025,"113.68","113.75","112.67","112.73","1,699,971"
07/14/2025,"112.23","113.15","112.08","113.05","1,391,143"
07/11/2025,"112.00","112.42","111.69","112.17","1,335,132"
07/10/2025,"112.33","112.51","111.52","112.41","2,227,014"
07/09/2025,"111.77","112.22","111.64","112.07","1,832,051"
07/08/2025,"112.17","112.17","110.79","111.24","1,865,968"
07/07/2025,"112.05","112.39","111.53","112.07","1,836,268"
07/03/2025,"112.02","112.66","111.97","112.51","1,301,406"
07/02/2025,"110.80","111.43","110.65","111.36","1,583,052"
07/01/2025,"111.79","111.91","110.17","110.74","2,177,846"
06/30/2025,"112.59","112.68","112.06","112.47","2,080,363"
06/27/2025,"111.44","112.18","111.09","111.84","2,041,698"
06/26/2025,"110.36","111.39","110.30","111.25","1,963,113"
06/25/2025,"110.42","110.50","109.71","109.95","1,697,918"
06/24/2025,"109.44","110.10","109.27","109.93","1,928,657"
06/23/2025,"106.82","108.52","106.57","108.42","1,487,878"
06/20/2025,"107.83","107.98","106.60","106.91","1,206,526"
06/18/2025,"106.90","107.84","106.80","107.20","1,012,910"
06/17/2025,"107.17","107.49","106.51","106.74","881,567"
06/16/2025,"107.03","108.10","106.98","107.60","1,092,837"
06/13/2025,"106.01","107.04","105.74","106.16","1,148,826"
06/12/2025,"106.69","107.44","106.58","107.22","922,362"
06/11/2025,"107.50","107.84","106.79","107.11","1,541,850"
06/10/2025,"107.05","107.22","105.97","107.10","1,246,718"
06/09/2025,"106.89","107.13","106.16","106.90","2,028,075"
06/06/2025,"106.99","107.44","106.50","106.92","1,120,522"
06/05/2025,"107.32","107.53","105.30","105.76","1,374,392"
06/04/2025,"107.40","107.54","106.71","107.13","1,456,369"
06/03/2025,"106.70","107.45","106.60","107.17","1,732,787"
06/02/2025,"105.09","106.52","104.69","106.43","1,282,562"
05/30/2025,"104.96","105.55","103.99","105.35","1,130,857"
05/29/2025,"106.20","106.28","104.71","105.23","1,316,682"
05/28/2025,"105.35","105.64","104.72","104.85","1,233,465"
05/27/2025,"104.27","105.28","103.88","105.28","1,218,722"
05/23/2025,"101.91","103.46","101.80","102.85","1,172,634"
05/22/2025,"102.87","103.97","102.69","103.19","1,035,605"
05/21/2025,"104.11","104.96","102.69","103.01","1,074,880"
05/20/2025,"104.68","105.09","104.25","104.90","1,011,514"
05/19/2025,"103.54","105.34","103.35","105.25","1,933,170"
05/16/2025,"104.71","105.20","104.17","105.20","1,217,930"
05/15/2025,"103.96","104.90","103.59","104.61","1,412,744"
05/14/2025,"104.32","104.74","103.97","104.66","1,844,349"
05/13/2025,"102.35","104.33","102.19","103.83","2,857,557"
05/12/2025,"102.17","102.23","100.73","101.88","2,049,189"
05/09/2025,"98.75","98.95","97.87","98.48","1,163,808"
05/08/2025,"98.52","99.36","97.62","98.50","1,733,187"
05/07/2025,"96.65","97.92","96.45","97.50","988,094"
05/06/2025,"96.12","97.09","95.94","96.56","1,172,232"
05/05/2025,"96.89","98.01","96.75","97.48","1,026,188"
05/02/2025,"97.14","98.26","96.69","97.80","1,369,801"
05/01/2025,"95.99","96.74","95.46","95.73","1,249,604"
04/30/2025,"92.97","94.83","91.93","94.57","871,547"
04/29/2025,"93.60","94.89","93.54","94.79","1,731,605"
04/28/2025,"94.27","94.72","92.88","94.11","4,215,746"
04/25/2025,"92.91","94.16","92.62","94.02","973,726"
04/24/2025,"90.61","92.92","90.44","92.83","949,607"
04/23/2025,"91.53","92.60","90.38","90.69","1,086,550"
04/22/2025,"87.02","88.99","86.88","88.39","842,708"
04/21/2025,"87.24","87.50","84.86","85.93","840,253"
04/17/2025,"88.72","89.10","87.83","88.26","529,964"
04/16/2025,"89.09","89.72","86.99","88.26","723,587"
04/15/2025,"90.38","91.51","90.32","90.53","1,111,027"
04/14/2025,"91.36","91.50","89.39","90.22","1,260,082"
04/11/2025,"87.99","90.04","87.31","89.82","2,036,691"
04/10/2025,"89.79","90.19","85.83","88.31","1,261,400"
04/09/2025,"82.59","92.51","81.96","91.92","2,444,032"
04/08/2025,"87.30","87.92","81.41","82.66","1,935,859"
04/07/2025,"79.17","86.64","78.25","83.48","3,330,053"
04/04/2025,"85.34","85.75","82.28","82.32","3,480,008"
04/03/2025,"89.76","90.69","88.42","88.65","1,338,659"
